,Name,Code,ICAO
754,Flyadeal,F3,FAD
755,FlyArna,G6,ACY
756,Flybe,BE,BEE
757,FlyBig,S9,FLG
758,Flybondi,FO,FBZ
759,FlyBosnia,6W,FBS
760,FlyDamas,4J,FDK
761,FlyDubai,FZ,FDB
762,FlyEgypt,FT,FEG
763,flyExclusive,,JRE
764,FlyGTA Airlines,SX,TOR
765,Flying Business Aviation,,FBX
766,Flying Service,,FYG
767,FlyMe,VP,VQI
768,FlyMontserrat,5M,MNT
769,Flynas,XY,KNE
770,FlyOne,5F,FIA
771,FlyOne Armenia,3F,FIE
772,FlyPelican,FP,FRE
773,Flyr,FS,FOX
774,FlySafair,FA,SFR
775,FlySchool,,FSM
776,FR Aviation,,FRA
777,Freebird Airlines,FH,FHY
778,Freebird Airlines Europe,MI,FHM
779,Freedom Airline Express,4F,FDT
780,Freight Runners Express,,FRG
781,French Bee,BF,FBU
782,Frontier,F9,FFT
783,Fuji Dream Airlines,JH,FDA
784,Fuzhou Airlines,FU,FZA
785,GainJet,,GNJ
786,Galistair Infinite Aviation,GT,GTR
787,Gama Aviation,,GMA
788,Gama Aviation Cayman,,GKY
789,Gama Aviation UAE,,GSH
790,Garuda Indonesia,GA,GIA
791,Gazpromavia,4G,GZP
792,General Atomic AeroTech Systems,,DOR
793,Genex,,GNX
794,Genghis Khan Airlines,9D,NMG
795,Geo Sky Airline,,GEL
796,Georgian Airlines,GH,IGT
797,Georgian Airways,A9,TGZ
798,German Airways,ZQ,GER
799,Germany - Air Ambulance,,CHX
800,Gesellschaft Fur Flugzieldarstellung,,GFD
801,Gestair,,GES
802,Gestair Aviation Malta,,GSM
803,GetJet Airlines,GW,GJT
804,Getjet Airlines Latvia,,DML
805,Ghadames Air Transport,NJ,GMS
806,Global Air Charters,,GJE
807,Global Air Transport,5S,GAK
808,Global Airways,,GBL
809,Global Jet Luxembourg,,SVW
810,Global Supply Systems,,GSS
811,Global X,G6,GXA
812,GlobeAir,,GAC
813,Go First,G8,GOW
814,GoJet ,G7,GJS
815,GOL Linhas Aereas,G3,GLO
816,Goldeck Flug,,GDK
817,Golden Myanmar Airlines,Y5,GMR
818,Gouvernement du Quebec,,QUE
819,GP Aviation,IV,GPX
820,Grafair,,GFM
821,Grand Canyon Airlines,YR,CVU
822,Grand China Air,CN,GDC
823,Grant Aviation,GV,GUN
824,Greater Bay Airlines,HB,HGB
825,Green Africa Airways,Q9,GWG
826,Greybird Aviation,,GAG
827,GTA Air,,GTX
828,Gulf Air,GF,GFA
829,Gulf and Caribbean Cargo,IF,TSU
830,Gulf Wings,,GWC
831,GullivAir,G2,GBG
832,Guna Airlines,,GUA
833,GX Airlines,GX,CBG
834,Hahn Air,HR,HHN
835,Hai Au Aviation,,HAI
836,Hainan Airlines,HU,CHH
837,Hala Air,HG,HTP
838,Hangar 8,,HGR
839,Hans Airways,,GKS
